date,APR El Melón - RP3 Cementos Melón >> Cementos Melón >> Estado Bomba(13118),APR El Melón - RP3 Cementos Melón >> Cementos Melón >> Estado Bomba Elevadora(25567)
2020-12-17 13:12:40-03:00,1.0,
2020-12-17 13:12:43-03:00,1.0,
2020-12-17 13:17:40-03:00,1.0,
2020-12-17 13:17:43-03:00,1.0,
2020-12-17 13:22:41-03:00,1.0,
2020-12-17 13:22:43-03:00,1.0,
2020-12-17 13:27:41-03:00,1.0,
2020-12-17 13:27:44-03:00,1.0,
2020-12-17 13:32:41-03:00,1.0,
2020-12-17 13:32:44-03:00,1.0,
2020-12-17 13:37:42-03:00,1.0,
2020-12-17 13:37:44-03:00,1.0,
2020-12-17 13:42:42-03:00,1.0,
2020-12-17 13:42:45-03:00,1.0,
2020-12-17 13:47:42-03:00,1.0,
2020-12-17 13:47:45-03:00,1.0,
2020-12-17 13:52:42-03:00,1.0,
2020-12-17 13:52:45-03:00,1.0,
2020-12-17 13:57:43-03:00,1.0,
2020-12-17 13:57:46-03:00,1.0,
2020-12-17 14:02:43-03:00,1.0,
2020-12-17 14:02:46-03:00,1.0,
2020-12-17 14:07:43-03:00,1.0,
2020-12-17 14:07:46-03:00,1.0,
2020-12-17 14:12:44-03:00,1.0,
2020-12-17 14:12:46-03:00,1.0,
2020-12-17 14:17:44-03:00,1.0,
2020-12-17 14:17:47-03:00,1.0,
2020-12-17 14:22:44-03:00,1.0,
2020-12-17 14:22:47-03:00,1.0,
2020-12-17 14:27:45-03:00,1.0,
2020-12-17 14:27:47-03:00,1.0,
2020-12-17 14:32:45-03:00,1.0,
2020-12-17 14:32:48-03:00,1.0,
2020-12-17 14:37:45-03:00,1.0,
2020-12-17 14:37:48-03:00,1.0,
2020-12-17 14:42:45-03:00,1.0,
2020-12-17 14:42:48-03:00,1.0,
2020-12-17 14:47:46-03:00,1.0,
2020-12-17 14:47:49-03:00,1.0,
2020-12-17 14:52:46-03:00,1.0,
2020-12-17 14:52:49-03:00,1.0,
2020-12-17 14:57:46-03:00,1.0,
2020-12-17 14:57:49-03:00,1.0,
2020-12-17 15:02:47-03:00,1.0,
2020-12-17 15:02:50-03:00,1.0,
2020-12-17 15:07:47-03:00,1.0,
2020-12-17 15:07:50-03:00,1.0,
2020-12-17 15:12:47-03:00,1.0,
2020-12-17 15:12:50-03:00,1.0,
2020-12-17 15:17:48-03:00,1.0,
2020-12-17 15:17:50-03:00,1.0,
2020-12-17 15:22:48-03:00,1.0,
2020-12-17 15:22:51-03:00,1.0,
2020-12-17 15:27:48-03:00,1.0,
2020-12-17 15:27:51-03:00,1.0,
2020-12-17 15:32:48-03:00,1.0,
2020-12-17 15:32:51-03:00,1.0,
2020-12-17 15:37:49-03:00,1.0,
2020-12-17 15:37:52-03:00,1.0,
2020-12-17 15:42:49-03:00,1.0,
2020-12-17 15:42:52-03:00,1.0,
2020-12-17 15:47:49-03:00,1.0,
2020-12-17 15:47:52-03:00,1.0,
2020-12-17 15:52:50-03:00,1.0,
2020-12-17 15:52:53-03:00,1.0,
2020-12-17 15:57:50-03:00,1.0,
2020-12-17 15:57:53-03:00,1.0,
2020-12-17 16:02:50-03:00,1.0,
2020-12-17 16:02:53-03:00,1.0,
2020-12-17 16:07:51-03:00,1.0,
2020-12-17 16:07:54-03:00,1.0,
2020-12-17 16:12:51-03:00,1.0,
2020-12-17 16:12:54-03:00,1.0,
2020-12-17 16:17:51-03:00,1.0,
2020-12-17 16:17:54-03:00,1.0,
2020-12-17 16:22:52-03:00,1.0,
2020-12-17 16:22:54-03:00,1.0,
2020-12-17 16:27:52-03:00,1.0,
2020-12-17 16:27:55-03:00,1.0,
2020-12-17 16:32:52-03:00,1.0,
2020-12-17 16:32:55-03:00,1.0,
2020-12-17 16:37:52-03:00,1.0,
2020-12-17 16:37:55-03:00,1.0,
2020-12-17 16:42:53-03:00,1.0,
2020-12-17 16:42:56-03:00,1.0,
2020-12-17 16:47:53-03:00,1.0,
2020-12-17 16:47:56-03:00,1.0,
2020-12-17 16:52:53-03:00,1.0,
2020-12-17 16:52:56-03:00,1.0,
2020-12-17 16:57:54-03:00,1.0,
2020-12-17 16:57:57-03:00,1.0,
2020-12-17 17:02:54-03:00,1.0,
2020-12-17 17:02:57-03:00,1.0,
2020-12-17 17:07:54-03:00,1.0,
2020-12-17 17:07:57-03:00,1.0,
2020-12-17 17:12:55-03:00,1.0,
2020-12-17 17:12:57-03:00,1.0,
2020-12-17 17:17:55-03:00,1.0,
2020-12-17 17:17:58-03:00,1.0,
2020-12-17 17:22:55-03:00,1.0,
2020-12-17 17:22:58-03:00,1.0,
2020-12-17 17:27:55-03:00,1.0,
2020-12-17 17:27:58-03:00,1.0,
2020-12-17 17:32:56-03:00,1.0,
2020-12-17 17:32:59-03:00,1.0,
2020-12-17 17:37:56-03:00,1.0,
2020-12-17 17:37:59-03:00,1.0,
2020-12-17 17:42:56-03:00,1.0,
2020-12-17 17:42:59-03:00,1.0,
2020-12-17 17:47:57-03:00,1.0,
2020-12-17 17:48:00-03:00,1.0,
2020-12-17 17:52:57-03:00,1.0,
2020-12-17 17:53:00-03:00,1.0,
2020-12-17 17:57:57-03:00,1.0,
2020-12-17 17:58:00-03:00,1.0,
2020-12-17 18:02:58-03:00,1.0,
2020-12-17 18:03:01-03:00,1.0,
2020-12-17 18:07:58-03:00,1.0,
2020-12-17 18:08:01-03:00,1.0,
2020-12-17 18:12:58-03:00,1.0,
2020-12-17 18:13:01-03:00,1.0,
2020-12-17 18:17:59-03:00,1.0,
2020-12-17 18:18:01-03:00,1.0,
2020-12-17 18:22:59-03:00,1.0,
2020-12-17 18:23:02-03:00,1.0,
2020-12-17 18:27:59-03:00,1.0,
2020-12-17 18:28:02-03:00,1.0,
2020-12-17 18:32:59-03:00,1.0,
2020-12-17 18:33:02-03:00,1.0,
2020-12-17 18:38:00-03:00,1.0,
2020-12-17 18:38:03-03:00,1.0,
2020-12-17 18:43:00-03:00,1.0,
2020-12-17 18:43:03-03:00,1.0,
2020-12-17 18:48:00-03:00,1.0,
2020-12-17 18:48:03-03:00,1.0,
