date,APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 2(22804),APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 1(22793),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 2(22739),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 1(22728)
2020-12-01 06:27:36-03:00,,,0.0,0.0
2020-12-01 06:27:44-03:00,0.0,0.0,,
2020-12-01 06:32:36-03:00,,,0.0,0.0
2020-12-01 06:32:45-03:00,0.0,0.0,,
2020-12-01 06:37:37-03:00,,,0.0,0.0
2020-12-01 06:37:45-03:00,0.0,0.0,,
2020-12-01 06:42:37-03:00,,,0.0,0.0
2020-12-01 06:42:45-03:00,0.0,0.0,,
2020-12-01 06:47:37-03:00,,,0.0,0.0
2020-12-01 06:47:46-03:00,0.0,0.0,,
2020-12-01 06:52:37-03:00,,,0.0,0.0
2020-12-01 06:52:46-03:00,0.0,0.0,,
2020-12-01 06:57:38-03:00,,,0.0,0.0
2020-12-01 06:57:46-03:00,0.0,0.0,,
2020-12-01 07:02:38-03:00,,,0.0,0.0
2020-12-01 07:02:47-03:00,0.0,0.0,,
2020-12-01 07:07:38-03:00,,,0.0,0.0
2020-12-01 07:07:47-03:00,0.0,0.0,,
2020-12-01 07:12:39-03:00,,,0.0,0.0
2020-12-01 07:12:48-03:00,0.0,0.0,,
2020-12-01 07:17:39-03:00,,,0.0,0.0
2020-12-01 07:17:49-03:00,0.0,0.0,,
2020-12-01 07:22:39-03:00,,,0.0,0.0
2020-12-01 07:22:49-03:00,0.0,0.0,,
2020-12-01 07:27:39-03:00,,,0.0,0.0
2020-12-01 07:27:49-03:00,0.0,0.0,,
2020-12-01 07:32:40-03:00,,,0.0,0.0
2020-12-01 07:32:50-03:00,0.0,0.0,,
2020-12-01 07:37:40-03:00,,,0.0,0.0
2020-12-01 07:37:50-03:00,0.0,0.0,,
2020-12-01 07:42:41-03:00,,,0.0,0.0
2020-12-01 07:42:50-03:00,0.0,0.0,,
2020-12-01 07:47:41-03:00,,,0.0,0.0
2020-12-01 07:47:51-03:00,0.0,0.0,,
2020-12-01 07:52:41-03:00,,,0.0,0.0
2020-12-01 07:52:51-03:00,0.0,0.0,,
2020-12-01 07:57:41-03:00,,,0.0,0.0
2020-12-01 07:57:51-03:00,0.0,0.0,,
2020-12-01 08:02:42-03:00,,,0.0,0.0
2020-12-01 08:02:52-03:00,0.0,0.0,,
2020-12-01 08:07:42-03:00,,,0.0,0.0
2020-12-01 08:07:52-03:00,0.0,0.0,,
2020-12-01 08:12:43-03:00,,,0.0,0.0
2020-12-01 08:12:52-03:00,0.0,0.0,,
2020-12-01 08:17:43-03:00,,,0.0,0.0
2020-12-01 08:17:52-03:00,0.0,0.0,,
2020-12-01 08:22:43-03:00,,,0.0,0.0
2020-12-01 08:22:53-03:00,0.0,0.0,,
2020-12-01 08:27:44-03:00,,,0.0,0.0
2020-12-01 08:27:53-03:00,0.0,0.0,,
2020-12-01 08:32:44-03:00,,,0.0,0.0
2020-12-01 08:32:53-03:00,0.0,0.0,,
2020-12-01 08:37:44-03:00,,,0.0,0.0
2020-12-01 08:37:53-03:00,0.0,0.0,,
2020-12-01 08:42:44-03:00,,,0.0,0.0
2020-12-01 08:42:54-03:00,0.0,0.0,,
2020-12-01 08:47:45-03:00,,,0.0,0.0
2020-12-01 08:47:54-03:00,0.0,0.0,,
2020-12-01 08:52:45-03:00,,,0.0,0.0
2020-12-01 08:52:54-03:00,0.0,0.0,,
2020-12-01 08:57:45-03:00,,,0.0,0.0
2020-12-01 08:57:55-03:00,0.0,0.0,,
2020-12-01 09:02:46-03:00,,,0.0,0.0
2020-12-01 09:02:55-03:00,0.0,0.0,,
2020-12-01 09:07:46-03:00,,,0.0,0.0
2020-12-01 09:07:55-03:00,0.0,0.0,,
2020-12-01 09:12:46-03:00,,,0.0,0.0
2020-12-01 09:12:55-03:00,0.0,0.0,,
2020-12-01 09:17:47-03:00,,,0.0,0.0
2020-12-01 09:17:55-03:00,0.0,0.0,,
2020-12-01 09:22:47-03:00,,,0.0,0.0
2020-12-01 09:22:56-03:00,0.0,0.0,,
2020-12-01 09:27:47-03:00,,,0.0,0.0
2020-12-01 09:27:56-03:00,0.0,0.0,,
2020-12-01 09:32:47-03:00,,,0.0,0.0
2020-12-01 09:32:56-03:00,0.0,0.0,,
2020-12-01 09:37:48-03:00,,,0.0,0.0
2020-12-01 09:37:57-03:00,0.0,0.0,,
2020-12-01 09:42:48-03:00,,,0.0,0.0
2020-12-01 09:42:57-03:00,0.0,0.0,,
2020-12-01 09:47:48-03:00,,,0.0,0.0
2020-12-01 09:47:57-03:00,0.0,0.0,,
2020-12-01 09:52:49-03:00,,,0.0,0.0
2020-12-01 09:52:58-03:00,0.0,0.0,,
2020-12-01 09:57:49-03:00,,,0.0,0.0
2020-12-01 09:57:58-03:00,0.0,0.0,,
2020-12-01 10:02:49-03:00,,,0.0,0.0
2020-12-01 10:02:59-03:00,0.0,0.0,,
2020-12-01 10:07:50-03:00,,,0.0,0.0
2020-12-01 10:07:59-03:00,0.0,0.0,,
2020-12-01 10:12:50-03:00,,,0.0,0.0
2020-12-01 10:12:59-03:00,0.0,0.0,,
2020-12-01 10:17:50-03:00,,,0.0,0.0
2020-12-01 10:17:59-03:00,0.0,0.0,,
2020-12-01 10:22:51-03:00,,,0.0,0.0
2020-12-01 10:22:59-03:00,0.0,0.0,,
2020-12-01 10:27:51-03:00,,,0.0,0.0
2020-12-01 10:28:00-03:00,0.0,0.0,,
2020-12-01 10:32:51-03:00,,,0.0,0.0
2020-12-01 10:33:00-03:00,0.0,0.0,,
2020-12-01 10:37:52-03:00,,,0.0,0.0
2020-12-01 10:38:00-03:00,0.0,0.0,,
2020-12-01 10:42:52-03:00,,,0.0,0.0
2020-12-01 10:43:01-03:00,0.0,0.0,,
2020-12-01 10:47:52-03:00,,,0.0,0.0
2020-12-01 10:48:01-03:00,0.0,0.0,,
2020-12-01 10:52:53-03:00,,,0.0,0.0
2020-12-01 10:53:01-03:00,0.0,0.0,,
