date,APR El Sauce >> Pozo 1 >> Caudal Pozo 1(10938),APR El Sauce >> Pozo 2 >> Caudal Pozo 2(10992)
2020-12-01 21:52:46-03:00,,9.09
2020-12-01 21:55:07-03:00,0.0,
2020-12-01 21:57:47-03:00,,9.09
2020-12-01 22:00:07-03:00,0.0,
2020-12-01 22:02:47-03:00,,9.09
2020-12-01 22:05:08-03:00,0.0,
2020-12-01 22:07:47-03:00,,9.09
2020-12-01 22:10:08-03:00,0.0,
2020-12-01 22:12:48-03:00,,9.09
2020-12-01 22:15:09-03:00,0.0,
2020-12-01 22:17:48-03:00,,9.09
2020-12-01 22:20:09-03:00,0.0,
2020-12-01 22:22:48-03:00,,9.09
2020-12-01 22:25:09-03:00,0.0,
2020-12-01 22:27:49-03:00,,9.09
2020-12-01 22:30:10-03:00,0.0,
2020-12-01 22:32:49-03:00,,9.09
2020-12-01 22:35:10-03:00,0.0,
2020-12-01 22:37:49-03:00,,9.09
2020-12-01 22:40:10-03:00,0.0,
2020-12-01 22:42:50-03:00,,9.09
2020-12-01 22:45:11-03:00,0.0,
2020-12-01 22:47:50-03:00,,9.09
2020-12-01 22:50:11-03:00,0.0,
2020-12-01 22:52:50-03:00,,9.09
2020-12-01 22:55:11-03:00,0.0,
2020-12-01 22:57:50-03:00,,9.09
2020-12-01 23:00:12-03:00,0.0,
