date,APR Las Calderas RP1 >> Estanque Elevado 1 >> Volumen Salida Estanque Base(14135),APR Las Calderas RP1 >> Pozo Pedrero >> Volumen Pozo Pedrero(14069)
2020-12-01 09:22:57-03:00,94725.0,
2020-12-01 09:24:40-03:00,,8970.0
2020-12-01 09:27:58-03:00,94728.0,
2020-12-01 09:29:40-03:00,,8970.0
2020-12-01 09:32:58-03:00,94731.0,
2020-12-01 09:34:40-03:00,,8970.0
2020-12-01 09:37:58-03:00,94733.0,
2020-12-01 09:39:41-03:00,,8971.0
2020-12-01 09:42:59-03:00,94736.0,
2020-12-01 09:44:41-03:00,,8972.0
2020-12-01 09:47:59-03:00,94739.0,
2020-12-01 09:49:41-03:00,,8972.0
2020-12-01 09:52:59-03:00,94742.0,
2020-12-01 09:54:42-03:00,,8973.0
2020-12-01 09:58:00-03:00,94745.0,
2020-12-01 09:59:42-03:00,,8974.0
2020-12-01 10:03:00-03:00,94748.0,
2020-12-01 10:04:42-03:00,,8974.0
2020-12-01 10:08:00-03:00,94751.0,
2020-12-01 10:09:42-03:00,,8975.0
2020-12-01 10:13:01-03:00,94754.0,
2020-12-01 10:14:43-03:00,,8976.0
2020-12-01 10:18:01-03:00,94757.0,
2020-12-01 10:19:43-03:00,,8976.0
2020-12-01 10:23:01-03:00,94760.0,
2020-12-01 10:24:43-03:00,,8977.0
2020-12-01 10:28:02-03:00,94763.0,
2020-12-01 10:29:44-03:00,,8977.0
2020-12-01 10:33:02-03:00,94766.0,
2020-12-01 10:34:44-03:00,,8977.0
2020-12-01 10:38:02-03:00,94769.0,
2020-12-01 10:39:44-03:00,,8977.0
2020-12-01 10:43:02-03:00,94772.0,
2020-12-01 10:44:45-03:00,,8977.0
2020-12-01 10:48:03-03:00,94775.0,
2020-12-01 10:49:45-03:00,,8977.0
2020-12-01 10:53:03-03:00,94778.0,
2020-12-01 10:54:45-03:00,,8977.0
2020-12-01 10:58:03-03:00,94781.0,
2020-12-01 10:59:46-03:00,,8977.0
2020-12-01 11:03:04-03:00,94784.0,
2020-12-01 11:04:46-03:00,,8977.0
2020-12-01 11:08:04-03:00,94787.0,
2020-12-01 11:09:46-03:00,,8977.0
2020-12-01 11:13:04-03:00,94790.0,
2020-12-01 11:14:47-03:00,,8977.0
2020-12-01 11:18:05-03:00,94793.0,
2020-12-01 11:19:47-03:00,,8977.0
2020-12-01 11:23:05-03:00,94796.0,
2020-12-01 11:24:47-03:00,,8977.0
2020-12-01 11:28:05-03:00,94799.0,
2020-12-01 11:29:47-03:00,,8977.0
2020-12-01 11:33:06-03:00,94803.0,
2020-12-01 11:34:48-03:00,,8977.0
2020-12-01 11:38:06-03:00,94806.0,
2020-12-01 11:39:48-03:00,,8978.0
2020-12-01 11:43:06-03:00,94809.0,
2020-12-01 11:44:48-03:00,,8978.0
2020-12-01 11:48:07-03:00,94812.0,
2020-12-01 11:49:49-03:00,,8979.0
2020-12-01 11:53:07-03:00,94815.0,
2020-12-01 11:54:49-03:00,,8980.0
2020-12-01 11:58:07-03:00,94818.0,
2020-12-01 11:59:49-03:00,,8980.0
2020-12-01 12:03:08-03:00,94821.0,
2020-12-01 12:04:50-03:00,,8981.0
2020-12-01 12:08:08-03:00,94824.0,
2020-12-01 12:09:50-03:00,,8982.0
2020-12-01 12:13:09-03:00,94827.0,
2020-12-01 12:14:50-03:00,,8982.0
2020-12-01 12:18:09-03:00,94830.0,
2020-12-01 12:19:51-03:00,,8983.0
2020-12-01 12:23:09-03:00,94833.0,
2020-12-01 12:24:51-03:00,,8983.0
2020-12-01 12:28:10-03:00,94836.0,
2020-12-01 12:29:51-03:00,,8983.0
2020-12-01 12:33:10-03:00,94839.0,
2020-12-01 12:34:52-03:00,,8983.0
2020-12-01 12:38:10-03:00,94842.0,
2020-12-01 12:39:52-03:00,,8983.0
2020-12-01 12:43:11-03:00,94845.0,
2020-12-01 12:44:52-03:00,,8983.0
2020-12-01 12:48:11-03:00,94848.0,
2020-12-01 12:49:52-03:00,,8983.0
2020-12-01 12:53:11-03:00,94850.0,
2020-12-01 12:54:53-03:00,,8983.0
2020-12-01 12:58:11-03:00,94853.0,
2020-12-01 12:59:53-03:00,,8983.0
2020-12-01 13:03:12-03:00,94856.0,
2020-12-01 13:04:53-03:00,,8983.0
2020-12-01 13:08:12-03:00,94859.0,
2020-12-01 13:09:54-03:00,,8983.0
