date,APR Los Cerrillos >> Pozo >> Caudal Pozo(12775)
2020-12-09 10:36:21-03:00,9.09
2020-12-09 10:36:27-03:00,9.09
2020-12-09 10:41:22-03:00,9.09
2020-12-09 10:41:27-03:00,9.09
2020-12-09 10:46:22-03:00,9.09
2020-12-09 10:46:28-03:00,9.09
2020-12-09 10:51:22-03:00,9.09
2020-12-09 10:51:28-03:00,9.09
2020-12-09 10:56:22-03:00,9.09
2020-12-09 10:56:28-03:00,9.09
2020-12-09 11:01:23-03:00,9.09
2020-12-09 11:01:29-03:00,9.09
2020-12-09 11:06:23-03:00,9.09
2020-12-09 11:06:29-03:00,9.09
2020-12-09 11:11:23-03:00,9.09
2020-12-09 11:11:29-03:00,9.09
2020-12-09 11:16:24-03:00,9.09
2020-12-09 11:16:29-03:00,9.09
2020-12-09 11:21:24-03:00,9.09
2020-12-09 11:21:30-03:00,9.09
2020-12-09 11:26:24-03:00,9.09
2020-12-09 11:26:30-03:00,9.09
2020-12-09 11:31:25-03:00,9.09
2020-12-09 11:31:30-03:00,9.09
2020-12-09 11:36:25-03:00,9.09
2020-12-09 11:36:31-03:00,9.09
2020-12-09 11:41:25-03:00,9.09
2020-12-09 11:41:31-03:00,9.09
2020-12-09 11:46:26-03:00,9.09
2020-12-09 11:46:31-03:00,9.09
2020-12-09 11:51:26-03:00,9.09
2020-12-09 11:51:32-03:00,9.09
2020-12-09 11:56:26-03:00,9.09
2020-12-09 11:56:32-03:00,9.09
2020-12-09 12:01:26-03:00,9.09
2020-12-09 12:01:32-03:00,9.09
2020-12-09 12:06:27-03:00,9.09
2020-12-09 12:06:33-03:00,9.09
2020-12-09 12:11:27-03:00,9.09
2020-12-09 12:11:33-03:00,9.09
2020-12-09 12:16:27-03:00,9.09
2020-12-09 12:16:33-03:00,9.09
2020-12-09 12:21:28-03:00,9.09
2020-12-09 12:21:33-03:00,9.09
2020-12-09 12:26:28-03:00,9.09
2020-12-09 12:26:34-03:00,9.09
2020-12-09 12:31:28-03:00,9.09
2020-12-09 12:31:34-03:00,9.09
2020-12-09 12:36:29-03:00,0.0
2020-12-09 12:36:34-03:00,0.0
2020-12-09 12:41:29-03:00,0.0
2020-12-09 12:41:35-03:00,0.0
2020-12-09 12:46:29-03:00,0.0
2020-12-09 12:46:35-03:00,0.0
2020-12-09 12:51:30-03:00,0.0
2020-12-09 12:51:35-03:00,0.0
2020-12-09 12:56:30-03:00,0.0
2020-12-09 12:56:36-03:00,0.0
2020-12-09 13:01:30-03:00,0.0
2020-12-09 13:01:36-03:00,0.0
2020-12-09 13:06:31-03:00,0.0
