date,APR Los Caleos >> Estanques Acumuladores >> Volumen Salida Bombas Elevadoras(26326),APR Los Caleos >> Pozos y Bombas Elevadoras >> Volumen Pozos(9919)
2020-12-01 08:26:53-03:00,5439.0,
2020-12-01 08:28:38-03:00,,60875.0
2020-12-01 08:31:53-03:00,5439.0,
2020-12-01 08:33:38-03:00,,60875.0
2020-12-01 08:36:53-03:00,5439.0,
2020-12-01 08:38:39-03:00,,60875.0
2020-12-01 08:41:54-03:00,5439.0,
2020-12-01 08:43:39-03:00,,60875.0
2020-12-01 08:46:54-03:00,5439.0,
2020-12-01 08:48:39-03:00,,60875.0
2020-12-01 08:51:54-03:00,5439.0,
2020-12-01 08:53:40-03:00,,60875.0
2020-12-01 08:56:54-03:00,5439.0,
2020-12-01 08:58:40-03:00,,60875.0
2020-12-01 09:01:55-03:00,5439.0,
2020-12-01 09:03:40-03:00,,60875.0
2020-12-01 09:06:55-03:00,5440.0,
2020-12-01 09:08:40-03:00,,60875.0
2020-12-01 09:11:55-03:00,5442.0,
2020-12-01 09:13:40-03:00,,60875.0
2020-12-01 09:16:56-03:00,5444.0,
2020-12-01 09:18:41-03:00,,60875.0
2020-12-01 09:21:56-03:00,5446.0,
2020-12-01 09:23:41-03:00,,60875.0
2020-12-01 09:26:56-03:00,5448.0,
2020-12-01 09:28:41-03:00,,60875.0
2020-12-01 09:31:57-03:00,5448.0,
2020-12-01 09:33:42-03:00,,60875.0
2020-12-01 09:36:57-03:00,5448.0,
2020-12-01 09:38:42-03:00,,60875.0
2020-12-01 09:41:57-03:00,5448.0,
2020-12-01 09:43:42-03:00,,60875.0
2020-12-01 09:46:58-03:00,5448.0,
2020-12-01 09:48:43-03:00,,60875.0
2020-12-01 09:51:58-03:00,5448.0,
2020-12-01 09:53:43-03:00,,60875.0
2020-12-01 09:56:58-03:00,5448.0,
2020-12-01 09:58:44-03:00,,60875.0
2020-12-01 10:01:59-03:00,5448.0,
2020-12-01 10:03:44-03:00,,60875.0
2020-12-01 10:06:59-03:00,5448.0,
2020-12-01 10:08:44-03:00,,60875.0
2020-12-01 10:11:59-03:00,5448.0,
2020-12-01 10:13:44-03:00,,60875.0
2020-12-01 10:17:00-03:00,5448.0,
2020-12-01 10:18:44-03:00,,60875.0
2020-12-01 10:22:00-03:00,5448.0,
2020-12-01 10:23:45-03:00,,60875.0
2020-12-01 10:27:00-03:00,5448.0,
2020-12-01 10:28:45-03:00,,60875.0
2020-12-01 10:32:01-03:00,5449.0,
2020-12-01 10:33:45-03:00,,60875.0
2020-12-01 10:37:01-03:00,5451.0,
2020-12-01 10:38:46-03:00,,60875.0
2020-12-01 10:42:01-03:00,5453.0,
2020-12-01 10:43:46-03:00,,60875.0
2020-12-01 10:47:01-03:00,5455.0,
2020-12-01 10:48:46-03:00,,60875.0
2020-12-01 10:52:02-03:00,5457.0,
2020-12-01 10:53:47-03:00,,60875.0
2020-12-01 10:57:02-03:00,5460.0,
2020-12-01 10:58:47-03:00,,60875.0
2020-12-01 11:02:02-03:00,5462.0,
2020-12-01 11:03:47-03:00,,60875.0
2020-12-01 11:07:03-03:00,5464.0,
2020-12-01 11:08:48-03:00,,60875.0
2020-12-01 11:12:03-03:00,5465.0,
2020-12-01 11:13:48-03:00,,60875.0
2020-12-01 11:17:03-03:00,5465.0,
2020-12-01 11:18:48-03:00,,60875.0
2020-12-01 11:22:04-03:00,5465.0,
2020-12-01 11:23:49-03:00,,60875.0
2020-12-01 11:27:04-03:00,5465.0,
2020-12-01 11:28:50-03:00,,60875.0
2020-12-01 11:32:04-03:00,5465.0,
2020-12-01 11:33:50-03:00,,60875.0
2020-12-01 11:37:05-03:00,5465.0,
2020-12-01 11:38:50-03:00,,60875.0
2020-12-01 11:42:05-03:00,5465.0,
2020-12-01 11:43:51-03:00,,60875.0
2020-12-01 11:47:05-03:00,5465.0,
2020-12-01 11:48:51-03:00,,60875.0
2020-12-01 11:52:06-03:00,5465.0,
2020-12-01 11:53:51-03:00,,60875.0
2020-12-01 11:57:06-03:00,5465.0,
2020-12-01 11:58:52-03:00,,60875.0
2020-12-01 12:02:06-03:00,5465.0,
2020-12-01 12:03:53-03:00,,60875.0
2020-12-01 12:07:07-03:00,5465.0,
2020-12-01 12:08:51-03:00,,60875.0
2020-12-01 12:12:07-03:00,5467.0,
2020-12-01 12:13:52-03:00,,60875.0
2020-12-01 12:17:07-03:00,5469.0,
2020-12-01 12:18:52-03:00,,60875.0
2020-12-01 12:22:08-03:00,5471.0,
2020-12-01 12:23:52-03:00,,60875.0
2020-12-01 12:27:08-03:00,5473.0,
2020-12-01 12:28:53-03:00,,60875.0
2020-12-01 12:32:08-03:00,5475.0,
2020-12-01 12:33:53-03:00,,60875.0
2020-12-01 12:37:09-03:00,5477.0,
2020-12-01 12:38:53-03:00,,60875.0
2020-12-01 12:42:09-03:00,5479.0,
2020-12-01 12:43:53-03:00,,60875.0
2020-12-01 12:47:09-03:00,5481.0,
2020-12-01 12:48:54-03:00,,60875.0
2020-12-01 12:52:10-03:00,5483.0,
2020-12-01 12:53:54-03:00,,60875.0
2020-12-01 12:57:10-03:00,5485.0,
2020-12-01 12:58:54-03:00,,60875.0
2020-12-01 13:02:10-03:00,5486.0,
2020-12-01 13:03:55-03:00,,60875.0
2020-12-01 13:07:11-03:00,5486.0,
2020-12-01 13:08:55-03:00,,60875.0
2020-12-01 13:12:11-03:00,5486.0,
2020-12-01 13:13:55-03:00,,60875.0
2020-12-01 13:17:11-03:00,5486.0,
2020-12-01 13:18:57-03:00,,60875.0
2020-12-01 13:22:11-03:00,5486.0,
2020-12-01 13:23:57-03:00,,60875.0
2020-12-01 13:27:12-03:00,5486.0,
2020-12-01 13:28:57-03:00,,60875.0
2020-12-01 13:32:12-03:00,5486.0,
2020-12-01 13:33:57-03:00,,60875.0
2020-12-01 13:37:12-03:00,5486.0,
2020-12-01 13:38:58-03:00,,60875.0
2020-12-01 13:42:13-03:00,5486.0,
2020-12-01 13:43:58-03:00,,60875.0
2020-12-01 13:47:13-03:00,5486.0,
2020-12-01 13:48:58-03:00,,60875.0
2020-12-01 13:52:13-03:00,5486.0,
2020-12-01 13:53:59-03:00,,60875.0
2020-12-01 13:57:14-03:00,5486.0,
2020-12-01 13:58:59-03:00,,60875.0
2020-12-01 14:02:14-03:00,5487.0,
2020-12-01 14:03:59-03:00,,60875.0
2020-12-01 14:07:14-03:00,5489.0,
2020-12-01 14:08:59-03:00,,60875.0
2020-12-01 14:12:15-03:00,5492.0,
2020-12-01 14:14:00-03:00,,60875.0
2020-12-01 14:17:15-03:00,5494.0,
2020-12-01 14:19:00-03:00,,60875.0
2020-12-01 14:22:15-03:00,5496.0,
2020-12-01 14:24:00-03:00,,60875.0
2020-12-01 14:27:16-03:00,5499.0,
2020-12-01 14:29:01-03:00,,60875.0
2020-12-01 14:32:16-03:00,5500.0,
2020-12-01 14:34:01-03:00,,60875.0
2020-12-01 14:37:16-03:00,5500.0,
2020-12-01 14:39:01-03:00,,60875.0
2020-12-01 14:42:17-03:00,5500.0,
2020-12-01 14:44:01-03:00,,60875.0
2020-12-01 14:47:17-03:00,5500.0,
2020-12-01 14:49:02-03:00,,60875.0
2020-12-01 14:52:17-03:00,5500.0,
2020-12-01 14:54:02-03:00,,60875.0
2020-12-01 14:57:18-03:00,5500.0,
2020-12-01 14:59:02-03:00,,60875.0
2020-12-01 15:02:18-03:00,5500.0,
2020-12-01 15:04:03-03:00,,60875.0
2020-12-01 15:07:18-03:00,5500.0,
2020-12-01 15:09:03-03:00,,60875.0
2020-12-01 15:12:18-03:00,5500.0,
2020-12-01 15:14:03-03:00,,60875.0
2020-12-01 15:17:19-03:00,5500.0,
2020-12-01 15:19:03-03:00,,60875.0
2020-12-01 15:22:19-03:00,5500.0,
2020-12-01 15:24:04-03:00,,60875.0
2020-12-01 15:27:19-03:00,5502.0,
2020-12-01 15:29:04-03:00,,60875.0
2020-12-01 15:32:20-03:00,5504.0,
2020-12-01 15:34:05-03:00,,60875.0
2020-12-01 15:37:20-03:00,5507.0,
2020-12-01 15:39:05-03:00,,60875.0
2020-12-01 15:42:20-03:00,5509.0,
2020-12-01 15:44:05-03:00,,60875.0
2020-12-01 15:47:21-03:00,5512.0,
2020-12-01 15:49:06-03:00,,60875.0
2020-12-01 15:52:21-03:00,5514.0,
2020-12-01 15:54:06-03:00,,60875.0
2020-12-01 15:57:21-03:00,5516.0,
2020-12-01 15:59:06-03:00,,60875.0
2020-12-01 16:02:22-03:00,5519.0,
2020-12-01 16:04:07-03:00,,60875.0
2020-12-01 16:07:22-03:00,5520.0,
2020-12-01 16:09:07-03:00,,60875.0
2020-12-01 16:12:23-03:00,5520.0,
2020-12-01 16:14:07-03:00,,60875.0
2020-12-01 16:17:23-03:00,5520.0,
2020-12-01 16:19:07-03:00,,60875.0
2020-12-01 16:22:23-03:00,5520.0,
2020-12-01 16:24:08-03:00,,60875.0
2020-12-01 16:27:24-03:00,5520.0,
2020-12-01 16:29:08-03:00,,60875.0
2020-12-01 16:32:24-03:00,5520.0,
2020-12-01 16:34:08-03:00,,60875.0
2020-12-01 16:37:24-03:00,5520.0,
2020-12-01 16:39:09-03:00,,60875.0
2020-12-01 16:42:24-03:00,5520.0,
2020-12-01 16:44:09-03:00,,60875.0
2020-12-01 16:47:25-03:00,5520.0,
2020-12-01 16:49:09-03:00,,60875.0
2020-12-01 16:52:25-03:00,5520.0,
2020-12-01 16:54:10-03:00,,60875.0
2020-12-01 16:57:25-03:00,5520.0,
2020-12-01 16:59:10-03:00,,60875.0
2020-12-01 17:02:26-03:00,5520.0,
2020-12-01 17:04:09-03:00,,60875.0
2020-12-01 17:07:26-03:00,5521.0,
2020-12-01 17:09:11-03:00,,60875.0
2020-12-01 17:12:26-03:00,5523.0,
2020-12-01 17:14:11-03:00,,60875.0
2020-12-01 17:17:27-03:00,5525.0,
2020-12-01 17:19:11-03:00,,60875.0
2020-12-01 17:22:27-03:00,5527.0,
2020-12-01 17:24:12-03:00,,60875.0
2020-12-01 17:27:27-03:00,5530.0,
2020-12-01 17:29:12-03:00,,60875.0
2020-12-01 17:32:28-03:00,5532.0,
2020-12-01 17:34:12-03:00,,60875.0
2020-12-01 17:37:28-03:00,5534.0,
2020-12-01 17:39:13-03:00,,60875.0
2020-12-01 17:42:28-03:00,5536.0,
2020-12-01 17:44:13-03:00,,60875.0
2020-12-01 17:47:29-03:00,5536.0,
2020-12-01 17:49:14-03:00,,60875.0
2020-12-01 17:52:29-03:00,5536.0,
2020-12-01 17:54:14-03:00,,60875.0
2020-12-01 17:57:29-03:00,5536.0,
2020-12-01 17:59:15-03:00,,60875.0
2020-12-01 18:02:29-03:00,5536.0,
2020-12-01 18:04:15-03:00,,60875.0
2020-12-01 18:07:30-03:00,5536.0,
2020-12-01 18:09:15-03:00,,60875.0
2020-12-01 18:12:30-03:00,5536.0,
2020-12-01 18:14:16-03:00,,60875.0
2020-12-01 18:17:31-03:00,5536.0,
2020-12-01 18:19:16-03:00,,60875.0
2020-12-01 18:22:31-03:00,5536.0,
2020-12-01 18:24:16-03:00,,60875.0
2020-12-01 18:27:31-03:00,5536.0,
2020-12-01 18:29:17-03:00,,60875.0
2020-12-01 18:32:32-03:00,5536.0,
2020-12-01 18:34:17-03:00,,60875.0
2020-12-01 18:37:32-03:00,5536.0,
2020-12-01 18:39:17-03:00,,60875.0
2020-12-01 18:42:32-03:00,5536.0,
2020-12-01 18:44:18-03:00,,60876.0
2020-12-01 18:47:32-03:00,5536.0,
2020-12-01 18:49:18-03:00,,60878.0
2020-12-01 18:52:33-03:00,5536.0,
2020-12-01 18:54:19-03:00,,60879.0
2020-12-01 18:57:33-03:00,5536.0,
2020-12-01 18:59:19-03:00,,60880.0
2020-12-01 19:02:33-03:00,5536.0,
2020-12-01 19:04:19-03:00,,60882.0
2020-12-01 19:07:34-03:00,5536.0,
2020-12-01 19:09:19-03:00,,60883.0
2020-12-01 19:12:34-03:00,5536.0,
2020-12-01 19:14:19-03:00,,60885.0
2020-12-01 19:17:34-03:00,5536.0,
2020-12-01 19:19:20-03:00,,60886.0
2020-12-01 19:22:35-03:00,5536.0,
2020-12-01 19:24:20-03:00,,60887.0
2020-12-01 19:27:35-03:00,5536.0,
2020-12-01 19:29:20-03:00,,60889.0
2020-12-01 19:32:35-03:00,5536.0,
2020-12-01 19:34:21-03:00,,60890.0
2020-12-01 19:37:36-03:00,5536.0,
2020-12-01 19:39:21-03:00,,60892.0
2020-12-01 19:42:36-03:00,5536.0,
2020-12-01 19:44:21-03:00,,60893.0
2020-12-01 19:47:36-03:00,5536.0,
2020-12-01 19:49:22-03:00,,60894.0
2020-12-01 19:52:37-03:00,5536.0,
2020-12-01 19:54:22-03:00,,60896.0
2020-12-01 19:57:37-03:00,5536.0,
2020-12-01 19:59:22-03:00,,60897.0
2020-12-01 20:02:37-03:00,5536.0,
2020-12-01 20:04:22-03:00,,60899.0
2020-12-01 20:07:38-03:00,5536.0,
2020-12-01 20:09:23-03:00,,60900.0
2020-12-01 20:12:38-03:00,5536.0,
2020-12-01 20:14:23-03:00,,60901.0
2020-12-01 20:17:38-03:00,5536.0,
2020-12-01 20:19:23-03:00,,60903.0
2020-12-01 20:22:39-03:00,5536.0,
2020-12-01 20:24:23-03:00,,60904.0
2020-12-01 20:27:39-03:00,5536.0,
2020-12-01 20:29:24-03:00,,60906.0
2020-12-01 20:32:39-03:00,5536.0,
2020-12-01 20:34:25-03:00,,60907.0
2020-12-01 20:37:39-03:00,5536.0,
2020-12-01 20:39:25-03:00,,60908.0
2020-12-01 20:42:40-03:00,5536.0,
2020-12-01 20:44:26-03:00,,60908.0
2020-12-01 20:47:40-03:00,5536.0,
2020-12-01 20:49:26-03:00,,60908.0
2020-12-01 20:52:40-03:00,5536.0,
