date,APR Las Canteras >> Pozo y Estanque >> Horómetro Pozo 3(20345),APR Las Canteras >> Pozo y Estanque >> Horómetro Pozo 1(4775)
2020-12-24 12:40:21-03:00,2121.0,61268.0
2020-12-24 12:45:21-03:00,2121.0,61268.0
2020-12-24 12:50:22-03:00,2121.0,61268.0
2020-12-24 12:55:22-03:00,2121.0,61268.0
2020-12-24 13:00:22-03:00,2121.0,61268.0
2020-12-24 13:05:23-03:00,2121.0,61268.0
2020-12-24 13:10:23-03:00,2121.0,61268.0
2020-12-24 13:15:23-03:00,2121.0,61268.0
2020-12-24 13:20:24-03:00,2121.0,61268.0
2020-12-24 13:25:24-03:00,2121.0,61268.0
2020-12-24 13:30:24-03:00,2121.0,61268.0
2020-12-24 13:35:25-03:00,2121.0,61268.0
2020-12-24 13:40:25-03:00,2121.0,61268.0
2020-12-24 13:45:25-03:00,2121.0,61268.0
2020-12-24 13:50:25-03:00,2121.0,61268.0
2020-12-24 13:55:26-03:00,2122.0,61268.0
2020-12-24 14:00:26-03:00,2122.0,61268.0
2020-12-24 14:05:26-03:00,2122.0,61268.0
2020-12-24 14:10:27-03:00,2122.0,61268.0
2020-12-24 14:15:27-03:00,2122.0,61268.0
2020-12-24 14:20:27-03:00,2122.0,61268.0
2020-12-24 14:25:28-03:00,2122.0,61268.0
2020-12-24 14:30:28-03:00,2122.0,61268.0
2020-12-24 14:35:28-03:00,2122.0,61268.0
2020-12-24 14:40:29-03:00,2122.0,61268.0
2020-12-24 14:45:29-03:00,2122.0,61268.0
2020-12-24 14:50:29-03:00,2122.0,61268.0
2020-12-24 14:55:30-03:00,2122.0,61268.0
2020-12-24 15:00:30-03:00,2122.0,61268.0
2020-12-24 15:05:30-03:00,2122.0,61268.0
2020-12-24 15:10:30-03:00,2122.0,61268.0
2020-12-24 15:15:31-03:00,2122.0,61268.0
2020-12-24 15:20:31-03:00,2122.0,61268.0
2020-12-24 15:25:31-03:00,2122.0,61268.0
2020-12-24 15:30:32-03:00,2122.0,61268.0
2020-12-24 15:35:32-03:00,2122.0,61268.0
2020-12-24 15:40:32-03:00,2123.0,61268.0
2020-12-24 15:45:33-03:00,2123.0,61268.0
2020-12-24 15:50:33-03:00,2123.0,61268.0
2020-12-24 15:55:33-03:00,2123.0,61268.0
2020-12-24 16:00:34-03:00,2123.0,61268.0
2020-12-24 16:05:34-03:00,2123.0,61268.0
2020-12-24 16:10:34-03:00,2123.0,61268.0
2020-12-24 16:15:35-03:00,2123.0,61268.0
2020-12-24 16:20:35-03:00,2123.0,61268.0
2020-12-24 16:25:35-03:00,2123.0,61268.0
2020-12-24 16:30:36-03:00,2123.0,61268.0
